model,Brand,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,Randcolour,Category
Mazda RX4,Mazda,21,6,160,110,3.9,2.62,16.46,0,1,4,4,Black,Boring
Mazda RX4 Wag,Mazda,21,6,160,110,3.9,2.875,17.02,0,1,4,4,Red,Boring
Datsun 710,Datsun,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,Red,Boring
Hornet 4 Drive,Hornet,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,Silver,Cool
Hornet Sportabout,Hornet,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,White,Cool
Valiant,Valiant,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,White,Cool
Duster 360,Duster,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,Red,Cool
Merc 240D,Mercades,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,Silver,Cool
Merc 230,Mercades,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,Silver,Cool
Merc 280,Mercades,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,White,Cool
Merc 280C,Mercades,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,Red,Cool
Merc 450SE,Mercades,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,Silver,Cool
Merc 450SL,Mercades,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,Silver,Cool
Merc 450SLC,Mercades,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,Red,Cool
Cadillac Fleetwood,Cadillac,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,Red,Cool
Lincoln Continental,Lincoln,10.4,8,460,215,3,5.424,17.82,0,0,3,4,Black,Boring
Chrysler Imperial,Chrysler,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,Red,Cool
Fiat 128,Fiat,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,Red,Cool
Honda Civic,Honda,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,White,Boring
Toyota Corolla,Toyota,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,Black,Boring
Toyota Corona,Toyota,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,White,Boring
Dodge Challenger,Dodge,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,Silver,Cool
AMC Javelin,AMC,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,White,Cool
Camaro Z28,Camaro,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,White,Cool
Pontiac Firebird,Pontiac,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,Black,Cool
Fiat X1-9,Fiat,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,Black,Boring
Porsche 914-2,Porsche,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,Red,Cool
Lotus Europa,Lotus,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,White,Cool
Ford Pantera L,Ford,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,White,Boring
Ferrari Dino,Ferrari,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,Black,Cool
Maserati Bora,Maserati,15,8,301,335,3.54,3.57,14.6,0,1,5,8,White,Cool
Volvo 142E,Volvo,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,Red,Boring
